№;Организация;Вакансия;Город;Контактное лицо;Телефон;Email;Ссылка на вакансию;Примечание
1;LeverX;Инженер по охране труда;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/135747492;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/759873"
2;Mak.by;Инженер по охране труда и экологии;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/136351324;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/960561"
3;Брестский мясокомбинат;Инженер по охране труда и промышленной безопасности;агрогородок Большие Мотыкалы;не указан;не указан;не указан;https://rabota.by/vacancy/136162230;"Нужен специалист ОТ и промышленной безопасности; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/854007"
4;Буровая компания Дельта;Инженер по охране труда;деревня Борщёвка;не указан;не указан;не указан;https://rabota.by/vacancy/131489388;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/1091627"
5;Витебский ДСК;Инженер по охране труда;Витебск, Московский проспект, 55;не указан;не указан;не указан;https://rabota.by/vacancy/135738002;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/3017416"
6;Галерея Концепт, СООО;Инженер по охране труда и пожарной безопасности;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/136133508;"Нужен специалист ОТ и промышленной безопасности; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/982196"
7;Детский реабилитационно-оздоровительный центр Романтика Люкс;Инженер по охране труда и технике безопасности;садоводческое товарищество Романтика;не указан;не указан;не указан;https://rabota.by/vacancy/136445789;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/5747555"
8;ЗАО Банк РРБ;Инженер по охране труда;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/136072299;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/1018454"
9;ЗАО МТБанк, BACK-OFFICE;Инженер по охране труда (в отдел охраны труда);Минск;не указан;не указан;не указан;https://rabota.by/vacancy/135879793;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/777735"
10;Иголенька, ЧП;Инженер по охране труда;Лида, 1-й переулок Александра Невского, 2А;не указан;не указан;не указан;https://rabota.by/vacancy/135650035;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/9841444"
11;ИУП БелВиллесден;Инженер по охране труда;Минск, переулок Асаналиева, 3;не указан;не указан;не указан;https://rabota.by/vacancy/135015996;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/622416"
12;Концерн Беллегпром;Главный специалист по охране труда и экологии и промышленной безопасности;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/135853338;"Нужен специалист ОТ и промышленной безопасности; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/1058576"
13;КСУП Совхоз Богдановичи;Инженер по охране труда и технике безопасности;агрогородок Хизов;не указан;не указан;не указан;https://rabota.by/vacancy/136029611;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/1078166"
14;Мотехсавтозапчасти;Специалист по охране труда;Минский район;не указан;не указан;не указан;https://rabota.by/vacancy/136166617;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/889141"
15;ОАО Гомельхимторг;Ведущий инженер по охране труда;Гомель, Могилёвская улица, 20;не указан;не указан;не указан;https://rabota.by/vacancy/136408919;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/1374081"
16;ОАО Западэлектросетьстрой;Инженер по охране труда;Гродно, Санаторная улица, 14;не указан;не указан;не указан;https://rabota.by/vacancy/136496524;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/1070407"
17;ОАО Криница;Ведущий инженер по охране труда;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/135776715;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/855435"
18;ОАО МЗОР;Начальник службы охраны труда и промышленной безопасности;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/135886308;"Нужен специалист ОТ и промышленной безопасности; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/1082484"
19;ОАО МИНСК КРИСТАЛЛ - управляющая компания холдинга МИНСК КРИСТАЛЛ ГРУПП;Ведущий инженер по промышленной безопасности;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/135818410;"Нужен специалист по промышленной безопасности; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/1075624"
20;ОАО Моготекс;Инженер по охране труда;Могилёв, улица Гришина, 87;не указан;не указан;не указан;https://rabota.by/vacancy/135846148;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/1189345"
21;ОАО Полесьежилстрой;Инженер по охране труда;Брест, Белорусская улица, 51;не указан;не указан;не указан;https://rabota.by/vacancy/132803404;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/1012926"
22;ОАО ПРОМТЕХМОНТАЖ;Ведущий инженер по охране труда;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/135911137;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/763892"
23;ОАО ЦЕНТРОЭНЕРГОМОНТАЖ;Инженер по промышленной безопасности;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/135586791;"Нужен специалист по промышленной безопасности; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/776767"
24;ООО Агентство охраны труда города Гродно;Инженер по охране труда и пожарной безопасности;Минск;не указан;не указан;не указан;https://rabota.by/vacancy/136027810;"Нужен специалист ОТ и промышленной безопасности; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/4379125"
25;ООО Евроторг;Главный специалист (отдел пожарной и промышленной безопасности);Минский район;не указан;не указан;не указан;https://rabota.by/vacancy/136143763;"Нужен специалист по промышленной безопасности; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/753017"
26;ООО Интер Тобакко;Инженер по охране труда и пожарной безопасности;Минск, улица Селицкого, 14;не указан;не указан;не указан;https://rabota.by/vacancy/134966319;"Нужен специалист ОТ и промышленной безопасности; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/954137"
27;ООО ИНТЕРТРАНСАВТО;Инженер по охране труда;Дзержинск (Беларусь);не указан;не указан;не указан;https://rabota.by/vacancy/136298059;"Нужен инженер/специалист по охране труда; контакты скрыты («показать контакты» на rabota.by) — откройте вакансию вручную; страница компании: https://rabota.by/employer/806376"
